Date;T;DewT;rH;Phpa;vms;vmax;Tmax;Tmin;R
26/02/2009;;;;;;;;;
27/02/2009;;;;;;;;;
28/02/2009;;;;;;;;;
01/03/2009;;;;;;;;;
02/03/2009;;;;;;;;;
03/03/2009;;;;;;;;;
04/03/2009;;;;;;;;;
05/03/2009;;;;;;;;;
06/03/2009;;;;;;;;;
07/03/2009;;;;;;;;;
08/03/2009;;;;;;;;;
09/03/2009;;;;;;;;;
10/03/2009;;;;;;;;;
11/03/2009;;;;;;;;;
12/03/2009;;;;;;;;;
13/03/2009;;;;;;;;;
14/03/2009;;;;;;;;;
15/03/2009;;;;;;;;;
16/03/2009;;;;;;;;;
17/03/2009;;;;;;;;;
18/03/2009;;;;;;;;;
19/03/2009;;;;;;;;;
20/03/2009;;;;;;;;;
21/03/2009;;;;;;;;;
22/03/2009;;;;;;;;;
23/03/2009;;;;;;;;;
24/03/2009;;;;;;;;;
25/03/2009;;;;;;;;;
26/03/2009;;;;;;;;;
27/03/2009;;;;;;;;;
28/03/2009;;;;;;;;;
29/03/2009;;;;;;;;;
30/03/2009;;;;;;;;;
31/03/2009;;;;;;;;;
01/04/2009;;;;;;;;;
02/04/2009;;;;;;;;;
03/04/2009;;;;;;;;;
04/04/2009;;;;;;;;;
05/04/2009;;;;;;;;;
06/04/2009;;;;;;;;;
07/04/2009;;;;;;;;;
08/04/2009;;;;;;;;;
09/04/2009;;;;;;;;;
10/04/2009;;;;;;;;;
11/04/2009;;;;;;;;;
12/04/2009;;;;;;;;;
13/04/2009;;;;;;;;;
14/04/2009;;;;;;;;;
15/04/2009;;;;;;;;;
16/04/2009;;;;;;;;;
17/04/2009;;;;;;;;;
18/04/2009;;;;;;;;;
19/04/2009;;;;;;;;;
20/04/2009;;;;;;;;;
21/04/2009;;;;;;;;;
22/04/2009;;;;;;;;;
23/04/2009;;;;;;;;;
24/04/2009;;;;;;;;;
25/04/2009;;;;;;;;;
26/04/2009;;;;;;;;;
27/04/2009;;;;;;;;;
28/04/2009;;;;;;;;;
29/04/2009;;;;;;;;;
30/04/2009;;;;;;;;;
01/05/2009;;;;;;;;;
02/05/2009;;;;;;;;;
03/05/2009;;;;;;;;;
04/05/2009;;;;;;;;;
05/05/2009;;;;;;;;;
06/05/2009;;;;;;;;;
07/05/2009;;;;;;;;;
08/05/2009;;;;;;;;;
09/05/2009;;;;;;;;;
10/05/2009;;;;;;;;;
11/05/2009;;;;;;;;;
12/05/2009;;;;;;;;;
13/05/2009;;;;;;;;;
14/05/2009;;;;;;;;;
15/05/2009;;;;;;;;;
16/05/2009;;;;;;;;;
17/05/2009;;;;;;;;;
18/05/2009;;;;;;;;;
19/05/2009;;;;;;;;;
20/05/2009;;;;;;;;;
21/05/2009;;;;;;;;;
22/05/2009;;;;;;;;;
23/05/2009;;;;;;;;;
24/05/2009;;;;;;;;;
25/05/2009;;;;;;;;;
26/05/2009;;;;;;;;;
27/05/2009;;;;;;;;;
28/05/2009;;;;;;;;;
29/05/2009;;;;;;;;;
30/05/2009;;;;;;;;;
31/05/2009;;;;;;;;;
01/06/2009;;;;;;;;;
02/06/2009;;;;;;;;;
03/06/2009;;;;;;;;;
04/06/2009;;;;;;;;;
05/06/2009;;;;;;;;;
06/06/2009;;;;;;;;;
07/06/2009;;;;;;;;;
08/06/2009;;;;;;;;;
09/06/2009;;;;;;;;;
10/06/2009;;;;;;;;;
11/06/2009;;;;;;;;;
12/06/2009;;;;;;;;;
13/06/2009;;;;;;;;;
14/06/2009;;;;;;;;;
15/06/2009;;;;;;;;;
16/06/2009;;;;;;;;;
17/06/2009;;;;;;;;;
18/06/2009;;;;;;;;;
19/06/2009;;;;;;;;;
20/06/2009;;;;;;;;;
21/06/2009;;;;;;;;;
22/06/2009;;;;;;;;;
23/06/2009;;;;;;;;;
24/06/2009;;;;;;;;;
25/06/2009;;;;;;;;;
26/06/2009;;;;;;;;;
27/06/2009;;;;;;;;;
28/06/2009;;;;;;;;;
29/06/2009;;;;;;;;;
30/06/2009;;;;;;;;;
01/07/2009;;;;;;;;;
02/07/2009;;;;;;;;;
03/07/2009;;;;;;;;;
04/07/2009;;;;;;;;;
05/07/2009;;;;;;;;;
06/07/2009;;;;;;;;;
07/07/2009;;;;;;;;;
08/07/2009;;;;;;;;;
09/07/2009;;;;;;;;;
10/07/2009;;;;;;;;;
11/07/2009;;;;;;;;;
12/07/2009;;;;;;;;;
13/07/2009;;;;;;;;;
14/07/2009;;;;;;;;;
15/07/2009;;;;;;;;;
16/07/2009;;;;;;;;;
17/07/2009;;;;;;;;;
18/07/2009;;;;;;;;;
19/07/2009;;;;;;;;;
20/07/2009;;;;;;;;;
21/07/2009;;;;;;;;;
22/07/2009;;;;;;;;;
23/07/2009;14.7;-4.4;26.4;857;1.3;2.6;24.3;4.9;
24/07/2009;;;;;;;;;
25/07/2009;11.6;-15.5;13.5;861.3;4;5.1;22;6;
26/07/2009;;;;;;;;;
27/07/2009;14.4;-1.3;33.8;860.3;3.6;5.1;23.3;9.6;
28/07/2009;15.1;-0.8;33.6;859.3;2.5;2.6;24.5;7.5;
29/07/2009;15.6;-1.7;30.4;857.4;1.2;1.5;25.9;9;
30/07/2009;13.9;-2.6;31.8;855.4;1.3;4.1;25.9;4.9;
31/07/2009;;;;;;;;;
01/08/2009;;;;;;;;;
02/08/2009;13.1;-9;20.6;860;1.7;2.1;25.8;5.3;
03/08/2009;15.4;-12.2;13.7;859.9;2;2.6;26;3.8;
04/08/2009;17.6;-10.4;13.8;858.3;1.6;2.6;28.5;4.1;
05/08/2009;15.7;-10.5;15.5;858.2;0.8;2.1;28.5;3.1;
06/08/2009;19.5;-9.5;13.2;858.6;2.2;3.1;28.5;10.2;
07/08/2009;22.4;-3.2;17.8;859.1;2.8;4.1;28.3;13.6;
08/08/2009;21.4;-0.2;23.7;858.6;2.8;4.6;28.3;15.5;
09/08/2009;;;;;;;;;
10/08/2009;20.3;-3.3;20.2;858.1;2.2;4.1;27.9;8.5;3.8
11/08/2009;20.1;-4.4;18.8;857.8;1.4;3.1;29;7.5;0
12/08/2009;19;-4.5;20;857.1;1.4;2.6;29;9;1.5
13/08/2009;19.1;-7.4;15.9;855.7;2;4.1;28.7;9.1;
14/08/2009;20.9;-6.6;15.2;856.6;1.8;3.1;30.3;13.1;
15/08/2009;21.6;-7.3;13.7;857.8;1.9;2.6;30.4;10.3;
16/08/2009;;;;;;;;;
17/08/2009;;;;;;;;;
18/08/2009;17.6;-2.1;26.2;854.5;1.9;4.1;29.1;8.9;
19/08/2009;15.8;-12.9;12.7;855.1;1.2;3.1;28.3;2;
20/08/2009;16.4;-7.4;18.8;856.2;2.2;3.6;28.1;6.9;
21/08/2009;19.2;-9;14;856.5;2;3.6;29.6;11.8;
22/08/2009;21.8;-8.6;12.3;856.3;1.5;2.6;29.5;9.3;
23/08/2009;20.8;-8.8;12.8;857.1;1.7;2.6;30.1;11.1;
24/08/2009;;;;;;;;;
25/08/2009;;;;;;;;;
26/08/2009;;;;;;;;;
27/08/2009;;;;;;;;;
28/08/2009;;;;;;;;;
29/08/2009;;;;;;;;;
30/08/2009;;;;;;;;;
31/08/2009;;;;;;;;;
01/09/2009;27.6;-8.3;8.9;858.5;2;3.1;31.9;21.5;
02/09/2009;25.6;-8.6;9.8;858.4;1.6;3.1;32;12.4;
03/09/2009;23.3;-8.5;11.3;857.7;2.2;3.6;32;11.2;
04/09/2009;23.5;-8.9;10.8;858.4;2.7;5.7;32;11.7;
05/09/2009;23.2;-11;9.3;859.8;3.5;6.7;31.4;15.1;
06/09/2009;22.5;-10.4;10.2;858.8;2.8;5.1;31.3;15.7;
07/09/2009;21.8;-8.7;12.2;856.4;1.5;2.1;32.4;13.1;
08/09/2009;21.7;-10.7;10.4;855.7;1.9;3.6;32.4;10.8;
09/09/2009;21.6;-8.2;12.8;856;2.2;4.1;31.5;10.5;
10/09/2009;22.5;-7.9;12.4;856.7;2;2.6;31.5;16.8;
11/09/2009;22.8;-9.4;10.8;856.3;1.9;4.1;31.5;15.2;
12/09/2009;;;;;;;;;
13/09/2009;;;;;;;;;
14/09/2009;24.3;3.4;25.7;855.6;1.9;3.1;34.9;15.5;
15/09/2009;24.8;1.4;21.6;854.7;1.5;3.1;34.9;12.8;
16/09/2009;22.5;-5.4;15.1;854.4;1.1;2.6;34.7;13.5;
17/09/2009;22;-5.6;15.3;854.5;1.8;4.6;34.4;12.9;
18/09/2009;;;;;;;;;
19/09/2009;;;;;;;;;
20/09/2009;;;;;;;;;
21/09/2009;24.3;3.8;26.4;855.3;2;3.6;34.3;16.4;
22/09/2009;22.7;5.8;33.4;856.3;1.6;3.1;33.7;17.5;
23/09/2009;26.6;4.4;24.1;855.5;2.6;3.1;31.3;16.3;
24/09/2009;;;;;;;;;
25/09/2009;23.6;0.9;22.5;854.5;1.5;2.6;31;14.9;1.5
26/09/2009;23.9;5.7;31;855.3;1.2;2.1;32.2;11;0
27/09/2009;24.8;2.8;23.9;856;1.7;2.1;34.1;16.2;3.3
28/09/2009;26.1;2.6;21.8;855.8;2.6;7.2;35.1;19.8;0.3
29/09/2009;23;7.2;36.2;856.7;1.8;3.6;35.1;18.3;1.5
30/09/2009;;;;;;;;;
01/10/2009;23.2;9.1;40.8;856.3;2.1;3.6;31.4;15;
02/10/2009;20.8;10;49.9;855.3;1.8;2.1;31.4;17.3;4.8
03/10/2009;20.9;4.9;35.1;854.2;1.9;2.6;30.3;13.4;
04/10/2009;19.9;-0.1;26.2;854.6;1.5;3.1;31.1;10.9;
05/10/2009;22;-2.7;19;854.8;2;3.1;33.2;10.5;
06/10/2009;24.9;-4.1;14.4;855;1.9;3.1;35.1;9.9;
07/10/2009;22.9;-5.3;14.8;855.8;1.2;2.1;35.4;13.7;
08/10/2009;26.3;-6.6;10.9;855;2.1;3.6;35.9;14.8;
09/10/2009;30.1;-4.9;10;854.4;2.1;3.6;35.1;17.5;
10/10/2009;;;;;;;;;
11/10/2009;25.3;5.2;27.5;853.5;1.9;3.1;34;16.8;0.3
12/10/2009;22.3;-2.9;18.4;853.2;1.7;4.1;33;11.6;
13/10/2009;23.1;-6.4;13.4;852.9;1.5;3.1;35.2;13.4;
14/10/2009;24.9;1.7;21.9;853.2;2.1;5.1;35.4;13.4;7.4
15/10/2009;24.3;7.9;35.1;855.3;2;4.1;27.6;18.7;0
16/10/2009;21.6;12.6;56.4;855.8;1.9;3.6;31.6;17.1;0.5
17/10/2009;;;;;;;;;
18/10/2009;;;;;;;;;
19/10/2009;;;;;;;;;
20/10/2009;;;;;;;;;
21/10/2009;;;;;;;;;
22/10/2009;;;;;;;;;
23/10/2009;25.9;7.5;31;856.6;1.4;2.6;32.8;18.4;0.8
24/10/2009;26.2;5.2;25.9;855.4;1.2;3.1;34.5;18.4;0
25/10/2009;28.3;3.7;20.8;853;2.6;3.6;35.4;20.6;
26/10/2009;28.7;1.3;17;852.6;2.4;3.6;36.1;17.7;
27/10/2009;27.9;0.2;16.6;854.1;1.9;3.1;37.4;16.9;
28/10/2009;26.8;0.8;18.5;853.8;1.6;3.1;37.4;17.4;
29/10/2009;27.4;-1.7;14.8;852.3;2.2;3.6;35.5;14.1;0.3
30/10/2009;;;;;;;;;
31/10/2009;;;;;;;;;
01/11/2009;;;;;;;;;
02/11/2009;25.1;5.3;28;853.2;1.5;3.1;34.3;14.5;0
03/11/2009;25.4;3.3;24;853.6;1.7;3.6;33.9;15.9;
